id,inputNews,summarizedNews
1,asdasdsad,asdasdsad
2,asdasd,Intinya...
3,asdsadsad,Intinya...asdsadsad
4,asdasd,Intinya... asdasd
5,asdasd,Intinya... asdasd
6,asdsd,Intinya... asdsd
7,asdasd,Intinya... asdasd
8,summarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarized,Intinya... summarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarizedsummarized
9,"Jakarta, CNN Indonesia -- Bank Rekonstruksi dan Pembangunan Eropa (EBRD) memperkirakan ekonomi Ukraina bisa terkontraksi 30 persen pada tahun ini akibat perang dengan Rusia belakangan ini. Proyeksi ini berubah dari Maret lalu yang memperkirakan ekonomi Ukraina bakal terkontraksi 20 persen.
""Revisi di Maret sebagian besar didorong oleh kontraksi yang lebih besar dari perkiraan sebelumnya di Ukraina saat perang berlanjut,"" ujar bank tersebut, dikutip dari AFP, Selasa (10/5).

Mereka menyatakan perkiraan dibuat karena blokade ekspor dari Rusia membawa dampak buruk terhadap pertanian yang menjadi sektor utama penopang ekonomi Ukraina. Maklum, Ukraina merupakan eksportir terbesar gandum dan minyak bunga matahari.

Baca artikel CNN Indonesia ""Ekonomi Ukraina Diprediksi Minus 30 Persen Akibat Perang dengan Rusia"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220510132834-532-795010/ekonomi-ukraina-diprediksi-minus-30-persen-akibat-perang-dengan-rusia.

Download Apps CNN Indonesia sekarang https://app.cnnindonesia.com/","Intinya... Jakarta, CNN Indonesia -- Bank Rekonstruksi dan Pembangunan Eropa (EBRD) memperkirakan ekonomi Ukraina bisa terkontraksi 30 persen pada tahun ini akibat perang dengan Rusia belakangan ini. Proyeksi ini berubah dari Maret lalu yang memperkirakan ekonomi Ukraina bakal terkontraksi 20 persen.
""Revisi di Maret sebagian besar didorong oleh kontraksi yang lebih besar dari perkiraan sebelumnya di Ukraina saat perang berlanjut,"" ujar bank tersebut, dikutip dari AFP, Selasa (10/5).

Mereka menyatakan perkiraan dibuat karena blokade ekspor dari Rusia membawa dampak buruk terhadap pertanian yang menjadi sektor utama penopang ekonomi Ukraina. Maklum, Ukraina merupakan eksportir terbesar gandum dan minyak bunga matahari.

Baca artikel CNN Indonesia ""Ekonomi Ukraina Diprediksi Minus 30 Persen Akibat Perang dengan Rusia"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220510132834-532-795010/ekonomi-ukraina-diprediksi-minus-30-persen-akibat-perang-dengan-rusia.

Download Apps CNN Indonesia sekarang https://app.cnnindonesia.com/"
10,"Harga kripto berguguran bersamaan dengan harga minyak mentah dunia. Ironis, emas yang digadang-gadang sebagai aset safe heaven pun tertular.
Mengutip coinmarketcap.com, Selasa (10/5), aset 10 kripto dengan kapitalisasi pasar utama, rontok hingga puluhan persen dalam semalam. Bitcoin, mata uang digital paling pun merosot hingga ke level harga US$30 ribuan.

Baca artikel CNN Indonesia ""Kripto, Emas hingga Minyak Mentah Berjatuhan, Ada Apa?"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220510130011-92-794997/kripto-emas-hingga-minyak-mentah-berjatuhan-ada-apa.

Download Apps CNN Indonesia sekarang https://app.cnnindonesia.com/","Intinya... Harga kripto berguguran bersamaan dengan harga minyak mentah dunia. Ironis, emas yang digadang-gadang sebagai aset safe heaven pun tertular.
Mengutip coinmarketcap.com, Selasa (10/5), aset 10 kripto dengan kapitalisasi pasar utama, rontok hingga puluhan persen dalam semalam. Bitcoin, mata uang digital paling pun merosot hingga ke level harga US$30 ribuan.

Baca artikel CNN Indonesia ""Kripto, Emas hingga Minyak Mentah Berjatuhan, Ada Apa?"" selengkapnya di sini: https://www.cnnindonesia.com/ekonomi/20220510130011-92-794997/kripto-emas-hingga-minyak-mentah-berjatuhan-ada-apa.

Download Apps CNN Indonesia sekarang https://app.cnnindonesia.com/"
